condition,event_class,event_id,window,fault_active,score,threshold,exceeded
clean,healthy,1,0,False,0.4518314924824914,1.2478460499249124,False
clean,healthy,1,1,False,0.4353100752376425,1.2478460499249124,False
clean,healthy,1,2,False,0.4147333337331775,1.2478460499249124,False
clean,healthy,1,3,False,0.4208429948560998,1.2478460499249124,False
clean,healthy,1,4,False,0.4338057726353292,1.2478460499249124,False
clean,healthy,1,5,False,0.42991345559493516,1.2478460499249124,False
clean,healthy,1,6,False,0.4584869211478072,1.2478460499249124,False
clean,healthy,1,7,False,0.41614602176506266,1.2478460499249124,False
clean,healthy,1,8,False,0.42143492035248303,1.2478460499249124,False
clean,healthy,1,9,False,0.43756311900901135,1.2478460499249124,False
clean,healthy,1,10,False,0.42060785565345365,1.2478460499249124,False
clean,healthy,1,11,False,0.45017482642052536,1.2478460499249124,False
clean,healthy,2,0,False,0.453355126673871,1.2478460499249124,False
clean,healthy,2,1,False,0.41735289470666087,1.2478460499249124,False
clean,healthy,2,2,False,0.4417221273524332,1.2478460499249124,False
clean,healthy,2,3,False,0.4424179571722314,1.2478460499249124,False
clean,healthy,2,4,False,0.4250104038797997,1.2478460499249124,False
clean,healthy,2,5,False,0.41682510603346645,1.2478460499249124,False
clean,healthy,2,6,False,0.4354824067553127,1.2478460499249124,False
clean,healthy,2,7,False,0.4267588902448222,1.2478460499249124,False
clean,healthy,2,8,False,0.43425685999325836,1.2478460499249124,False
clean,healthy,2,9,False,0.4417221273524332,1.2478460499249124,False
clean,healthy,2,10,False,0.40945892919047283,1.2478460499249124,False
clean,healthy,2,11,False,0.42143492035248303,1.2478460499249124,False
clean,healthy,3,0,False,0.43753286699932664,1.2478460499249124,False
clean,healthy,3,1,False,0.43978350122102866,1.2478460499249124,False
clean,healthy,3,2,False,0.41614602176506266,1.2478460499249124,False
clean,healthy,3,3,False,0.43962526315986505,1.2478460499249124,False
clean,healthy,3,4,False,0.42045355798060285,1.2478460499249124,False
clean,healthy,3,5,False,0.4237638742618308,1.2478460499249124,False
clean,healthy,3,6,False,0.43981771990015756,1.2478460499249124,False
clean,healthy,3,7,False,0.43946521340612615,1.2478460499249124,False
clean,healthy,3,8,False,0.43918529587237487,1.2478460499249124,False
clean,healthy,3,9,False,0.4181012014363704,1.2478460499249124,False
clean,healthy,3,10,False,0.4423682048779494,1.2478460499249124,False
clean,healthy,3,11,False,0.4061703801879843,1.2478460499249124,False
clean,healthy,4,0,False,0.4373197285586412,1.2478460499249124,False
clean,healthy,4,1,False,0.43753286699932664,1.2478460499249124,False
clean,healthy,4,2,False,0.4643481319486377,1.2478460499249124,False
clean,healthy,4,3,False,0.4122718973866925,1.2478460499249124,False
clean,healthy,4,4,False,0.4153445942181295,1.2478460499249124,False
clean,healthy,4,5,False,0.4210905718684264,1.2478460499249124,False
clean,healthy,4,6,False,0.4220794856390314,1.2478460499249124,False
clean,healthy,4,7,False,0.4643481319486377,1.2478460499249124,False
clean,healthy,4,8,False,0.40851134003116973,1.2478460499249124,False
clean,healthy,4,9,False,0.42373700182854945,1.2478460499249124,False
clean,healthy,4,10,False,0.4210905718684264,1.2478460499249124,False
clean,healthy,4,11,False,0.4643481319486377,1.2478460499249124,False
clean,healthy,5,0,False,0.42564749614910286,1.2478460499249124,False
clean,healthy,5,1,False,0.4207909256471266,1.2478460499249124,False
clean,healthy,5,2,False,0.4353100752376425,1.2478460499249124,False
clean,healthy,5,3,False,0.42143492035248303,1.2478460499249124,False
clean,healthy,5,4,False,0.43756311900901135,1.2478460499249124,False
clean,healthy,5,5,False,0.42284537171802483,1.2478460499249124,False
clean,healthy,5,6,False,0.4208429948560998,1.2478460499249124,False
clean,healthy,5,7,False,0.4479077650823815,1.2478460499249124,False
clean,healthy,5,8,False,0.42637452484009025,1.2478460499249124,False
clean,healthy,5,9,False,0.41401529980683094,1.2478460499249124,False
clean,healthy,5,10,False,0.43480912276877404,1.2478460499249124,False
clean,healthy,5,11,False,0.4190044268749952,1.2478460499249124,False
clean,healthy,6,0,False,0.45029731205468376,1.2478460499249124,False
clean,healthy,6,1,False,0.4271354298538974,1.2478460499249124,False
clean,healthy,6,2,False,0.4359253091581564,1.2478460499249124,False
clean,healthy,6,3,False,0.4176715931069739,1.2478460499249124,False
clean,healthy,6,4,False,0.45017482642052536,1.2478460499249124,False
clean,healthy,6,5,False,0.42060785565345365,1.2478460499249124,False
clean,healthy,6,6,False,0.41484906707633284,1.2478460499249124,False
clean,healthy,6,7,False,0.4293986084825741,1.2478460499249124,False
clean,healthy,6,8,False,0.42143492035248303,1.2478460499249124,False
clean,healthy,6,9,False,0.4272096691425629,1.2478460499249124,False
clean,healthy,6,10,False,0.40369277913493934,1.2478460499249124,False
clean,healthy,6,11,False,0.4008273940198873,1.2478460499249124,False
clean,healthy,7,0,False,0.4243614583005725,1.2478460499249124,False
clean,healthy,7,1,False,0.43058320176438813,1.2478460499249124,False
