condition,event_class,event_id,window,fault_active,normalized_impulse,diff_rms,kurtosis,score_only,score_plus_diff,triple_evidence
clean,healthy,1,0,False,0.4153219434626156,0.15017058898334254,1.8256932610716716,0,0,0
clean,healthy,1,1,False,0.44027832981547815,0.1495082059788403,1.8769192010952178,0,0,0
clean,healthy,1,2,False,0.43753189228393063,0.14855295061120322,1.862857427314786,0,0,0
clean,healthy,1,3,False,0.41484906707633284,0.14831312281830134,1.86095345188939,0,0,0
clean,healthy,1,4,False,0.4609306243207353,0.14945900324309735,1.8936617314225066,0,0,0
clean,healthy,1,5,False,0.40851134003116973,0.14916721655900897,1.82629311964798,0,0,0
clean,healthy,1,6,False,0.44027832981547815,0.1495082059788403,1.8769192010952178,0,0,0
clean,healthy,1,7,False,0.4491864969306982,0.1505329904911057,1.8430875997525615,0,0,0
clean,healthy,1,8,False,0.4307355181323861,0.1465188855154624,1.8431628209675701,0,0,0
clean,healthy,1,9,False,0.4118200420349834,0.14668536394099083,1.8395826114563691,0,0,0
clean,healthy,1,10,False,0.4409532265257949,0.1464730863460423,1.8753571716148807,0,0,0
clean,healthy,1,11,False,0.4493073958510742,0.14634642589926417,1.9029032953321907,0,0,0
clean,healthy,2,0,False,0.4250104038797997,0.14349857793269807,1.84543455030895,0,0,0
clean,healthy,2,1,False,0.43479050465710467,0.1471045085179221,1.8641635835158745,0,0,0
clean,healthy,2,2,False,0.4477594013268205,0.14972220302294922,1.8557336445436303,0,0,0
clean,healthy,2,3,False,0.43058320176438813,0.15071251460142512,1.861848175643694,0,0,0
clean,healthy,2,4,False,0.4609306243207353,0.14945900324309735,1.8936617314225066,0,0,0
clean,healthy,2,5,False,0.43962526315986505,0.14858310116829906,1.8704992955343847,0,0,0
clean,healthy,2,6,False,0.4373197285586412,0.1506571867438004,1.83909812300954,0,0,0
clean,healthy,2,7,False,0.4440806483589156,0.1492924533639854,1.880068804851851,0,0,0
clean,healthy,2,8,False,0.4470087410327325,0.15133838439190592,1.8608733354889757,0,0,0
clean,healthy,2,9,False,0.42358813260613865,0.1487432070332672,1.8556753111924977,0,0,0
clean,healthy,2,10,False,0.4477594013268205,0.14972220302294922,1.8557336445436303,0,0,0
